"id","name","type","parent_id"
"150311","Feijó","3","1503"
"150310","Laranjeiro","3","1503"
"150401","Barreiro","3","1504"
"150603","Moita","3","1506"
"150305","Trafaria","3","1503"
"150803","Pinhal Novo","3","1508"
"081201","São Brás de Alportel","3","0812"
"150304","Cova da Piedade","3","1503"
"150302","Caparica","3","1503"
"150307","Pragal","3","1503"
"150602","Baixa da Banheira","3","1506"
"150601","Alhos Vedros","3","1506"
"150301","Almada","3","1503"
"150306","Cacilhas","3","1503"
"150402","Lavradio","3","1504"
"070105","Terena (São Pedro)","3","0701"
"150705","Alto-Estanqueiro-Jardia","3","1507"
"150604","Gaio-Rosário","3","1506"
"150605","Sarilhos Pequenos","3","1506"
"070502","Nossa Senhora da Graça do Divor","3","0705"
"070509","São Miguel de Machede","3","0705"
"150704","Sarilhos Grandes","3","1507"
"070609","Silveiras","3","0706"
"150708","Afonsoeiro","3","1507"
"110632","Santa Maria de Belém","3","1106"
"110505","Parede","3","1105"
"110502","Carcavelos","3","1105"
"110649","São Paulo","3","1106"
"110620","Mártires","3","1106"
"110652","Sé","3","1106"
"110619","Madalena","3","1106"
"150706","Pegões","3","1507"
"110647","São Miguel","3","1106"
"110648","São Nicolau","3","1106"
"110627","Sacramento","3","1106"
"110636","Santo Estêvão","3","1106"
"110634","Santiago","3","1106"
"150707","Atalaia","3","1507"
"110612","Castelo","3","1106"
"111004","Oeiras e São Julião da Barra","3","1110"
"110638","São Cristóvão e São Lourenço","3","1106"
"110615","Encarnação","3","1106"
"111005","Paço de Arcos","3","1110"
"110626","Prazeres","3","1106"
"070101","Alandroal (Nossa Senhora da Conceição)","3","0701"
"110628","Santa Catarina","3","1106"
"110617","Lapa","3","1106"
"110622","Mercês","3","1106"
"110646","São Mamede","3","1106"
"110601","Ajuda","3","1106"
"110602","Alcântara","3","1106"
"150702","Montijo","3","1507"
"110624","Pena","3","1106"
"110614","Coração de Jesus","3","1106"
"110606","Anjos","3","1106"
"111010","Queijas","3","1110"
"110504","Estoril","3","1105"
"110625","Penha de França","3","1106"
"110644","São Jorge de Arroios","3","1106"
"110650","São Sebastião da Pedreira","3","1106"
"110641","São João","3","1106"
"150805","Poceirão","3","1508"
"111003","Carnaxide","3","1110"
"150203","São Francisco","3","1502"
"110607","Beato","3","1106"
"110610","Campolide","3","1106"
"070604","Nossa Senhora da Vila","3","0706"
"111501","Alfragide","3","1115"
"110643","São João de Deus","3","1106"
"111503","Buraca","3","1115"
"110623","Nossa Senhora de Fátima","3","1106"
"110603","Alto do Pina","3","1106"
"110604","Alvalade","3","1106"
"071201","Vendas Novas","3","0712"
"111504","Damaia","3","1115"
"070106","São Brás dos Matos (Mina do Bugalho)","3","0701"
"071002","Redondo","3","0710"
"111009","Porto Salvo","3","1110"
"070202","Igrejinha","3","0702"
"111002","Barcarena","3","1110"
"110506","São Domingos de Rana","3","1105"
"070610","Foros de Vale de Figueira","3","0706"
"071404","Pardais","3","0714"
"110639","São Domingos de Benfica","3","1106"
"111507","Reboleira","3","1115"
"110608","Benfica","3","1106"
"111511","Venda Nova","3","1115"
"110609","Campo Grande","3","1106"
"111508","Venteira","3","1115"
"110621","Marvila","3","1106"
"110642","São João de Brito","3","1106"
"070506","São Bento do Mato","3","0705"
"111116","Massamá","3","1111"
"111505","Falagueira","3","1115"
"111121","São Marcos","3","1111"
"111117","Monte Abraão","3","1111"
"111107","Queluz","3","1111"
"071401","Bencatel","3","0714"
"111509","Alfornelos","3","1115"
"070102","Juromenha (Nossa Senhora do Loreto)","3","0701"
"071405","Vila Viçosa (São Bartolomeu)","3","0714"
"110611","Carnide","3","1106"
"070603","Nossa Senhora do Bispo","3","0706"
"070205","Gafanhoeira (São Pedro)","3","0702"
"111506","Mina","3","1115"
"111119","Cacém","3","1111"
"111502","Brandoa","3","1115"
"110709","Moscavide","3","1107"
"110618","Lumiar","3","1106"
"110633","Santa Maria dos Olivais","3","1106"
"111118","Agualva","3","1111"
"110719","Portela","3","1107"
"111120","Mira-Sintra","3","1111"
"111605","Pontinha","3","1116"
"110605","Ameixoeira","3","1106"
"070404","Évora Monte (Santa Maria)","3","0704"
"070203","Santa Justa","3","0702"
"110613","Charneca","3","1106"
"110723","Prior Velho","3","1107"
"111510","São Brás","3","1115"
"111108","Rio de Mouro","3","1111"
"111604","Olival de Basto","3","1116"
"111112","Sintra (São Pedro de Penaferrim)","3","1111"
"111603","Odivelas","3","1116"
"110712","Sacavém","3","1107"
"070304","Borba (São Bartolomeu)","3","0703"
"111606","Póvoa de Santo Adrião","3","1116"
"111602","Famões","3","1116"
"071403","Vila Viçosa (Conceição)","3","0714"
"110703","Camarate","3","1107"
"111115","Casal de Cambra","3","1111"
"070303","Rio de Moinhos","3","0703"
"111607","Ramada","3","1116"
"110722","Bobadela","3","1107"
"111104","Belas","3","1111"
"070207","Sabugueiro","3","0702"
"110701","Apelação","3","1107"
"110724","Santo António dos Cavaleiros","3","1107"
"150201","Alcochete","3","1502"
"070607","Ciborro","3","0706"
"070402","Glória","3","0704"
"050709","Pedrógão de São Pedro","3","0507"
"050703","Aldeia de João Pires","3","0507"
"061508","Samuel","3","0615"
"061206","Pampilhosa da Serra","3","0612"
"061204","Janeiro de Baixo","3","0612"
"061502","Brunhós","3","0615"
"060405","Condeixa-a-Velha","3","0604"
"050403","Alcongosta","3","0504"
"060506","Lavos","3","0605"
"060502","Alqueidão","3","0605"
"060404","Condeixa-a-Nova","3","0604"
"060403","Bem da Fé","3","0604"
"060409","Vila Seca","3","0604"
"050704","Aranhas","3","0507"
"050430","Mata da Rainha","3","0504"
"050426","Souto da Casa","3","0504"
"050702","Aldeia do Bispo","3","0507"
"060406","Ega","3","0604"
"050408","Barroca","3","0504"
"050701","Águas","3","0507"
"061201","Cabril","3","0612"
"061210","Vidual","3","0612"
"060402","Belide","3","0604"
"061202","Dornelas do Zêzere","3","0612"
"060706","Gândaras","3","0607"
"061511","Vila Nova de Anços","3","0615"
"131610","Gião","3","1316"
"040825","Ventozelo","3","0408"
"130904","Eiriz","3","1309"
"130140","Vila Garcia","3","1301"
"131801","Alvarelhos","3","1318"
"040108","Parada","3","0401"
"131616","Mindelo","3","1316"
"130115","Fridão","3","1301"
"130328","Unhão","3","1303"
"130909","Lamoso","3","1309"
"040824","Valverde","3","0408"
"130106","Canadelo","3","1301"
"171011","São Lourenço de Ribapinhão","3","1710"
"130302","Airães","3","1303"
"130111","Chapa","3","1301"
"130914","Raimonda","3","1309"
"041017","Vila Flor","3","0410"
"171421","Pena","3","1714"
"171414","Lordelo","3","1714"
"041010","Samões","3","0410"
"171428","Vila Cova","3","1714"
"130903","Codessos","3","1309"
"131420","Couto (Santa Cristina)","3","1314"
"130915","Sanfins de Ferreira","3","1309"
"130316","Rande","3","1303"
"040313","Pinhal do Norte","3","0403"
"030823","Guardizela","3","0308"
"030851","São Faustino","3","0308"
"170701","Candedo","3","1707"
"040707","Barcel","3","0407"
"031228","Novais","3","0312"
"031215","Fradelos","3","0312"
"031220","Lagoa","3","0312"
"130324","Sendim","3","1303"
"031201","Abade de Vermoim","3","0312"
"031234","Riba de Ave","3","0312"
"030811","Conde","3","0308"
"031213","Delães","3","0312"
"041002","Benlhevai","3","0410"
"030512","Gémeos","3","0305"
"030809","Calvos","3","0308"
"170706","Noura","3","1707"
"041014","Trindade","3","0410"
"040735","Valverde","3","0407"
"040736","Vila Boa","3","0407"
"131301","A Ver-o-Mar","3","1313"
"031239","Oliveira (Santa Maria)","3","0312"
"131305","Balazar","3","1313"
"030837","Polvoreira","3","0308"
"030832","Nespereira","3","0308"
"030731","Seidões","3","0307"
"170619","Outeiro","3","1706"
"170348","Vilela Seca","3","1703"
"160141","Arcos de Valdevez (São Paio)","3","1601"
"160203","Arga de Cima","3","1602"
"041231","Vilar de Lomba","3","0412"
"160706","Bárrio","3","1607"
"170339","Travancas","3","1703"
